submission_id,scenario,execution,method_1a_only,no_delay,fixed_gi,wrong_gi,si_not_gi,poisson,no_smoothing,negative_rt,no_uncertainty,wrong_likelihood,confused_rt_r,other_departures,count_A_equivalent,count_B_minor,count_C_major,count_D_fundamental,overall,uncertainty_quantified,appropriate_parameters,proper_discretisation,notes
SUB_001,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_002,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_003,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_004,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_005,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_006,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_007,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_008,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_009,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_010,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_011,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_012,2,FAILED,,,,,,,,,,,,,,,,,,,,,
SUB_013,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_014,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_015,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_016,3,FAILED,,,,,,,,,,,,,,,,,,,,,
SUB_017,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_018,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_019,2,FAILED,,,,,,,,,,,,,,,,,,,,,
SUB_020,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_021,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_022,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_023,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_024,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_025,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_026,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_027,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_028,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_029,2,FAILED,,,,,,,,,,,,,,,,,,,,,
SUB_030,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_031,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_032,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_033,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_034,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_035,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_036,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_037,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_038,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_039,1b,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_040,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_041,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_042,3,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_043,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_044,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_045,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_046,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_047,2,SUCCESS,,,,,,,,,,,,,,,,,,,,,
SUB_048,1a,SUCCESS,,,,,,,,,,,,,,,,,,,,,
