day,I
1,95
2,89
3,93
4,104
5,91
6,90
7,86
8,78
9,94
10,76
11,68
12,64
13,77
14,79
15,72
16,53
17,53
18,64
19,69
20,71
21,72
22,70
23,75
24,62
25,81
26,58
27,75
28,94
29,73
30,70
31,77
32,87
33,83
34,95
35,106
36,100
37,128
38,101
39,128
40,130
41,144
42,142
43,158
44,156
45,180
46,202
47,188
48,199
49,222
50,250
51,267
52,264
53,300
54,319
55,367
56,415
57,449
58,450
59,513
60,559
61,560
62,630
63,680
64,687
65,807
66,828
67,893
68,956
69,1047
70,1156
71,1168
72,1307
73,1415
74,1511
75,1594
76,1771
77,1842
78,1949
79,1946
80,1922
81,1676
82,1486
83,1226
84,1130
85,952
86,861
87,744
88,718
89,589
90,585
91,445
92,416
93,369
94,347
95,335
96,290
97,237
98,227
99,202
100,177
101,162
102,141
103,110
104,104
105,80
106,72
107,72
108,64
109,64
110,42
111,49
112,50
113,48
114,24
115,29
116,20
117,23
118,20
119,15
120,12
121,13
122,14
123,13
124,5
125,5
126,1
127,4
128,4
129,1
130,3
131,3
132,1
133,0
134,2
135,3
136,1
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,0
