date,cases
2023-01-01,17
2023-01-02,40
2023-01-03,28
2023-01-04,44
2023-01-05,36
2023-01-06,36
2023-01-07,25
2023-01-08,22
2023-01-09,39
2023-01-10,46
2023-01-11,37
2023-01-12,42
2023-01-13,50
2023-01-14,17
2023-01-15,22
2023-01-16,40
2023-01-17,34
2023-01-18,37
2023-01-19,41
2023-01-20,39
2023-01-21,17
2023-01-22,20
2023-01-23,36
2023-01-24,42
2023-01-25,34
2023-01-26,45
2023-01-27,43
2023-01-28,21
2023-01-29,23
2023-01-30,50
2023-01-31,54
2023-02-01,53
2023-02-02,43
2023-02-03,35
2023-02-04,21
2023-02-05,37
2023-02-06,45
2023-02-07,53
2023-02-08,52
2023-02-09,61
2023-02-10,56
2023-02-11,36
2023-02-12,35
2023-02-13,75
2023-02-14,71
2023-02-15,85
2023-02-16,78
2023-02-17,92
2023-02-18,40
2023-02-19,46
2023-02-20,98
2023-02-21,111
2023-02-22,123
2023-02-23,99
2023-02-24,109
2023-02-25,65
2023-02-26,77
2023-02-27,151
2023-02-28,172
2023-03-01,197
2023-03-02,173
2023-03-03,182
2023-03-04,93
2023-03-05,112
2023-03-06,230
2023-03-07,253
2023-03-08,290
2023-03-09,281
2023-03-10,321
2023-03-11,148
2023-03-12,150
2023-03-13,337
2023-03-14,317
2023-03-15,348
2023-03-16,418
2023-03-17,433
2023-03-18,228
2023-03-19,249
2023-03-20,540
2023-03-21,554
2023-03-22,596
2023-03-23,605
2023-03-24,609
2023-03-25,272
2023-03-26,243
2023-03-27,445
2023-03-28,390
2023-03-29,371
2023-03-30,328
2023-03-31,276
2023-04-01,122
2023-04-02,100
2023-04-03,193
2023-04-04,142
2023-04-05,133
2023-04-06,97
2023-04-07,87
2023-04-08,43
2023-04-09,46
2023-04-10,57
2023-04-11,64
2023-04-12,37
2023-04-13,43
2023-04-14,42
2023-04-15,14
2023-04-16,13
2023-04-17,14
2023-04-18,21
2023-04-19,19
2023-04-20,19
2023-04-21,10
2023-04-22,3
2023-04-23,3
2023-04-24,11
2023-04-25,6
2023-04-26,12
2023-04-27,6
2023-04-28,6
2023-04-29,5
2023-04-30,2
2023-05-01,2
2023-05-02,1
2023-05-03,6
2023-05-04,3
2023-05-05,5
2023-05-06,0
2023-05-07,1
2023-05-08,2
2023-05-09,2
2023-05-10,2
2023-05-11,1
2023-05-12,1
2023-05-13,0
2023-05-14,0
2023-05-15,2
2023-05-16,0
2023-05-17,1
2023-05-18,0
2023-05-19,0
2023-05-20,0
2023-05-21,1
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,0
