day,I
1,104
2,82
3,98
4,101
5,87
6,90
7,104
8,96
9,76
10,79
11,75
12,95
13,70
14,79
15,78
16,95
17,79
18,79
19,76
20,67
21,88
22,77
23,78
24,95
25,83
26,79
27,76
28,73
29,80
30,90
31,73
32,80
33,92
34,83
35,100
36,99
37,85
38,89
39,98
40,101
41,123
42,110
43,111
44,130
45,154
46,150
47,172
48,152
49,195
50,200
51,193
52,242
53,214
54,285
55,302
56,342
57,318
58,363
59,371
60,414
61,427
62,473
63,481
64,516
65,555
66,579
67,586
68,601
69,701
70,702
71,726
72,718
73,768
74,798
75,834
76,794
77,857
78,868
79,912
80,969
81,960
82,950
83,923
84,1026
85,954
86,977
87,1001
88,967
89,992
90,963
91,1011
92,1020
93,989
94,923
95,901
96,931
97,918
98,881
99,781
100,815
101,792
102,774
103,751
104,724
105,725
106,662
107,666
108,568
109,558
110,556
111,584
112,516
113,511
114,463
115,476
116,444
117,479
118,423
119,368
120,373
121,360
122,376
123,358
124,335
125,339
126,283
127,267
128,259
129,274
130,282
131,226
132,204
133,233
134,232
135,197
136,199
137,195
138,214
139,163
140,149
141,139
142,152
143,149
144,135
145,139
146,117
147,140
148,131
149,109
150,108
