date,hospitalisations
2023-01-01,5
2023-01-02,13
2023-01-03,7
2023-01-04,5
2023-01-05,6
2023-01-06,6
2023-01-07,5
2023-01-08,2
2023-01-09,7
2023-01-10,4
2023-01-11,6
2023-01-12,10
2023-01-13,5
2023-01-14,3
2023-01-15,3
2023-01-16,8
2023-01-17,6
2023-01-18,5
2023-01-19,6
2023-01-20,6
2023-01-21,3
2023-01-22,2
2023-01-23,1
2023-01-24,3
2023-01-25,2
2023-01-26,6
2023-01-27,3
2023-01-28,1
2023-01-29,2
2023-01-30,7
2023-01-31,5
2023-02-01,5
2023-02-02,3
2023-02-03,5
2023-02-04,0
2023-02-05,3
2023-02-06,4
2023-02-07,7
2023-02-08,7
2023-02-09,8
2023-02-10,9
2023-02-11,3
2023-02-12,2
2023-02-13,8
2023-02-14,8
2023-02-15,5
2023-02-16,8
2023-02-17,7
2023-02-18,3
2023-02-19,3
2023-02-20,6
2023-02-21,9
2023-02-22,3
2023-02-23,4
2023-02-24,9
2023-02-25,6
2023-02-26,8
2023-02-27,12
2023-02-28,15
2023-03-01,13
2023-03-02,14
2023-03-03,9
2023-03-04,9
2023-03-05,7
2023-03-06,14
2023-03-07,8
2023-03-08,19
2023-03-09,9
2023-03-10,17
2023-03-11,10
2023-03-12,11
2023-03-13,10
2023-03-14,21
2023-03-15,16
2023-03-16,22
2023-03-17,16
2023-03-18,5
2023-03-19,12
2023-03-20,22
2023-03-21,13
2023-03-22,13
2023-03-23,19
2023-03-24,22
2023-03-25,12
2023-03-26,8
2023-03-27,16
2023-03-28,15
2023-03-29,13
2023-03-30,27
2023-03-31,21
2023-04-01,6
2023-04-02,8
2023-04-03,39
2023-04-04,18
2023-04-05,22
2023-04-06,13
2023-04-07,25
2023-04-08,8
2023-04-09,12
2023-04-10,19
2023-04-11,19
2023-04-12,20
2023-04-13,24
2023-04-14,19
2023-04-15,7
2023-04-16,14
2023-04-17,27
2023-04-18,25
2023-04-19,29
2023-04-20,20
2023-04-21,19
2023-04-22,15
2023-04-23,9
2023-04-24,20
2023-04-25,23
2023-04-26,14
2023-04-27,25
2023-04-28,19
2023-04-29,5
2023-04-30,9
2023-05-01,13
2023-05-02,23
2023-05-03,12
2023-05-04,24
2023-05-05,12
2023-05-06,4
2023-05-07,8
2023-05-08,11
2023-05-09,19
2023-05-10,19
2023-05-11,14
2023-05-12,7
2023-05-13,4
2023-05-14,5
2023-05-15,10
2023-05-16,10
2023-05-17,9
2023-05-18,17
2023-05-19,8
2023-05-20,9
2023-05-21,7
2023-05-22,9
2023-05-23,11
2023-05-24,14
2023-05-25,14
2023-05-26,8
2023-05-27,4
2023-05-28,6
2023-05-29,7
2023-05-30,4
