date,cases
2023-01-01,43
2023-01-02,68
2023-01-03,37
2023-01-04,40
2023-01-05,42
2023-01-06,21
2023-01-07,13
2023-01-08,12
2023-01-09,50
2023-01-10,35
2023-01-11,28
2023-01-12,33
2023-01-13,70
2023-01-14,28
2023-01-15,27
2023-01-16,66
2023-01-17,58
2023-01-18,30
2023-01-19,30
2023-01-20,58
2023-01-21,19
2023-01-22,23
2023-01-23,46
2023-01-24,27
2023-01-25,45
2023-01-26,46
2023-01-27,73
2023-01-28,26
2023-01-29,30
2023-01-30,35
2023-01-31,48
2023-02-01,68
2023-02-02,53
2023-02-03,53
2023-02-04,43
2023-02-05,40
2023-02-06,88
2023-02-07,118
2023-02-08,97
2023-02-09,142
2023-02-10,54
2023-02-11,65
2023-02-12,44
2023-02-13,40
2023-02-14,122
2023-02-15,95
2023-02-16,132
2023-02-17,240
2023-02-18,36
2023-02-19,96
2023-02-20,57
2023-02-21,155
2023-02-22,87
2023-02-23,229
2023-02-24,259
2023-02-25,93
2023-02-26,138
2023-02-27,120
2023-02-28,207
2023-03-01,234
2023-03-02,234
2023-03-03,105
2023-03-04,197
2023-03-05,83
2023-03-06,204
2023-03-07,290
2023-03-08,537
2023-03-09,174
2023-03-10,244
2023-03-11,203
2023-03-12,145
2023-03-13,195
2023-03-14,206
2023-03-15,403
2023-03-16,304
2023-03-17,301
2023-03-18,90
2023-03-19,215
2023-03-20,332
2023-03-21,523
2023-03-22,459
2023-03-23,286
2023-03-24,419
2023-03-25,179
2023-03-26,81
2023-03-27,233
2023-03-28,178
2023-03-29,257
2023-03-30,258
2023-03-31,182
2023-04-01,208
2023-04-02,91
2023-04-03,443
2023-04-04,176
2023-04-05,426
2023-04-06,289
2023-04-07,208
2023-04-08,124
2023-04-09,76
2023-04-10,115
2023-04-11,173
2023-04-12,135
2023-04-13,152
2023-04-14,146
2023-04-15,71
2023-04-16,50
2023-04-17,278
2023-04-18,71
2023-04-19,96
2023-04-20,137
2023-04-21,105
2023-04-22,45
2023-04-23,52
2023-04-24,94
2023-04-25,113
2023-04-26,106
2023-04-27,87
2023-04-28,64
2023-04-29,45
2023-04-30,52
2023-05-01,74
2023-05-02,117
2023-05-03,82
2023-05-04,49
2023-05-05,56
2023-05-06,27
2023-05-07,47
2023-05-08,92
2023-05-09,19
2023-05-10,44
2023-05-11,29
2023-05-12,51
2023-05-13,30
2023-05-14,25
2023-05-15,49
2023-05-16,80
2023-05-17,41
2023-05-18,59
2023-05-19,50
2023-05-20,9
2023-05-21,47
2023-05-22,68
2023-05-23,70
2023-05-24,50
2023-05-25,79
2023-05-26,35
2023-05-27,41
2023-05-28,28
2023-05-29,83
2023-05-30,41
