date,cases
2023-01-01,14
2023-01-02,25
2023-01-03,24
2023-01-04,41
2023-01-05,33
2023-01-06,34
2023-01-07,15
2023-01-08,14
2023-01-09,23
2023-01-10,24
2023-01-11,23
2023-01-12,22
2023-01-13,25
2023-01-14,17
2023-01-15,6
2023-01-16,21
2023-01-17,33
2023-01-18,30
2023-01-19,27
2023-01-20,22
2023-01-21,14
2023-01-22,13
2023-01-23,20
2023-01-24,24
2023-01-25,35
2023-01-26,20
2023-01-27,24
2023-01-28,10
2023-01-29,12
2023-01-30,20
2023-01-31,19
2023-02-01,32
2023-02-02,28
2023-02-03,24
2023-02-04,17
2023-02-05,13
2023-02-06,24
2023-02-07,27
2023-02-08,23
2023-02-09,34
2023-02-10,32
2023-02-11,17
2023-02-12,20
2023-02-13,39
2023-02-14,43
2023-02-15,48
2023-02-16,45
2023-02-17,46
2023-02-18,24
2023-02-19,24
2023-02-20,70
2023-02-21,76
2023-02-22,71
2023-02-23,77
2023-02-24,85
2023-02-25,53
2023-02-26,40
2023-02-27,94
2023-02-28,120
2023-03-01,99
2023-03-02,128
2023-03-03,107
2023-03-04,62
2023-03-05,79
2023-03-06,149
2023-03-07,126
2023-03-08,130
2023-03-09,154
2023-03-10,180
2023-03-11,101
2023-03-12,89
2023-03-13,219
2023-03-14,225
2023-03-15,226
2023-03-16,195
2023-03-17,229
2023-03-18,124
2023-03-19,123
2023-03-20,220
2023-03-21,236
2023-03-22,223
2023-03-23,217
2023-03-24,210
2023-03-25,110
2023-03-26,101
2023-03-27,191
2023-03-28,197
2023-03-29,186
2023-03-30,221
2023-03-31,263
2023-04-01,117
2023-04-02,115
2023-04-03,200
2023-04-04,205
2023-04-05,195
2023-04-06,215
2023-04-07,182
2023-04-08,109
2023-04-09,88
2023-04-10,169
2023-04-11,170
2023-04-12,144
2023-04-13,158
2023-04-14,147
2023-04-15,86
2023-04-16,54
2023-04-17,126
2023-04-18,99
2023-04-19,117
2023-04-20,95
2023-04-21,96
2023-04-22,39
2023-04-23,43
2023-04-24,97
2023-04-25,90
2023-04-26,82
2023-04-27,96
2023-04-28,103
2023-04-29,51
2023-04-30,35
2023-05-01,78
2023-05-02,72
2023-05-03,82
2023-05-04,80
2023-05-05,100
2023-05-06,40
2023-05-07,45
2023-05-08,74
2023-05-09,94
2023-05-10,74
2023-05-11,81
2023-05-12,92
2023-05-13,37
2023-05-14,37
2023-05-15,76
2023-05-16,71
2023-05-17,81
2023-05-18,81
2023-05-19,65
2023-05-20,37
2023-05-21,38
2023-05-22,81
2023-05-23,67
2023-05-24,73
2023-05-25,74
2023-05-26,84
2023-05-27,32
2023-05-28,58
2023-05-29,67
2023-05-30,49
