date,cases
2023-01-01,15
2023-01-02,59
2023-01-03,35
2023-01-04,40
2023-01-05,59
2023-01-06,54
2023-01-07,21
2023-01-08,17
2023-01-09,42
2023-01-10,47
2023-01-11,54
2023-01-12,51
2023-01-13,56
2023-01-14,15
2023-01-15,31
2023-01-16,54
2023-01-17,58
2023-01-18,61
2023-01-19,60
2023-01-20,48
2023-01-21,26
2023-01-22,31
2023-01-23,61
2023-01-24,69
2023-01-25,73
2023-01-26,62
2023-01-27,81
2023-01-28,34
2023-01-29,23
2023-01-30,73
2023-01-31,85
2023-02-01,80
2023-02-02,84
2023-02-03,71
2023-02-04,51
2023-02-05,47
2023-02-06,111
2023-02-07,133
2023-02-08,83
2023-02-09,122
2023-02-10,124
2023-02-11,60
2023-02-12,52
2023-02-13,137
2023-02-14,150
2023-02-15,149
2023-02-16,158
2023-02-17,191
2023-02-18,89
2023-02-19,90
2023-02-20,210
2023-02-21,221
2023-02-22,208
2023-02-23,240
2023-02-24,255
2023-02-25,137
2023-02-26,137
2023-02-27,253
2023-02-28,295
2023-03-01,293
2023-03-02,294
2023-03-03,290
2023-03-04,164
2023-03-05,153
2023-03-06,311
2023-03-07,326
2023-03-08,338
2023-03-09,313
2023-03-10,336
2023-03-11,178
2023-03-12,171
2023-03-13,295
2023-03-14,369
2023-03-15,335
2023-03-16,351
2023-03-17,305
2023-03-18,181
2023-03-19,139
2023-03-20,341
2023-03-21,289
2023-03-22,293
2023-03-23,291
2023-03-24,272
2023-03-25,124
2023-03-26,129
2023-03-27,238
2023-03-28,266
2023-03-29,214
2023-03-30,195
2023-03-31,203
2023-04-01,91
2023-04-02,70
2023-04-03,163
2023-04-04,146
2023-04-05,138
2023-04-06,118
2023-04-07,98
2023-04-08,49
2023-04-09,52
2023-04-10,82
2023-04-11,68
2023-04-12,75
2023-04-13,52
2023-04-14,51
2023-04-15,22
2023-04-16,17
2023-04-17,41
2023-04-18,51
2023-04-19,25
2023-04-20,21
2023-04-21,31
2023-04-22,22
2023-04-23,22
2023-04-24,19
2023-04-25,35
2023-04-26,24
2023-04-27,21
2023-04-28,29
2023-04-29,13
2023-04-30,14
2023-05-01,37
2023-05-02,35
2023-05-03,35
2023-05-04,35
2023-05-05,29
2023-05-06,23
2023-05-07,17
2023-05-08,48
2023-05-09,43
2023-05-10,64
2023-05-11,52
2023-05-12,35
2023-05-13,23
2023-05-14,15
2023-05-15,42
2023-05-16,50
2023-05-17,55
2023-05-18,64
2023-05-19,58
2023-05-20,17
2023-05-21,27
2023-05-22,62
2023-05-23,60
2023-05-24,65
2023-05-25,64
2023-05-26,62
2023-05-27,39
2023-05-28,33
2023-05-29,65
2023-05-30,54
