date,cases
2023-01-01,24
2023-01-02,49
2023-01-03,54
2023-01-04,36
2023-01-05,45
2023-01-06,53
2023-01-07,29
2023-01-08,20
2023-01-09,73
2023-01-10,55
2023-01-11,55
2023-01-12,48
2023-01-13,47
2023-01-14,24
2023-01-15,28
2023-01-16,56
2023-01-17,70
2023-01-18,72
2023-01-19,68
2023-01-20,57
2023-01-21,31
2023-01-22,28
2023-01-23,66
2023-01-24,87
2023-01-25,69
2023-01-26,61
2023-01-27,59
2023-01-28,38
2023-01-29,48
2023-01-30,71
2023-01-31,99
2023-02-01,93
2023-02-02,89
2023-02-03,106
2023-02-04,54
2023-02-05,49
2023-02-06,93
2023-02-07,78
2023-02-08,112
2023-02-09,113
2023-02-10,120
2023-02-11,62
2023-02-12,65
2023-02-13,154
2023-02-14,153
2023-02-15,153
2023-02-16,152
2023-02-17,157
2023-02-18,105
2023-02-19,99
2023-02-20,216
2023-02-21,219
2023-02-22,250
2023-02-23,253
2023-02-24,257
2023-02-25,118
2023-02-26,140
2023-02-27,274
2023-02-28,304
2023-03-01,339
2023-03-02,298
2023-03-03,327
2023-03-04,176
2023-03-05,205
2023-03-06,398
2023-03-07,387
2023-03-08,433
2023-03-09,414
2023-03-10,431
2023-03-11,214
2023-03-12,222
2023-03-13,484
2023-03-14,452
2023-03-15,472
2023-03-16,453
2023-03-17,500
2023-03-18,241
2023-03-19,252
2023-03-20,504
2023-03-21,476
2023-03-22,461
2023-03-23,444
2023-03-24,432
2023-03-25,235
2023-03-26,217
2023-03-27,418
2023-03-28,419
2023-03-29,382
2023-03-30,388
2023-03-31,398
2023-04-01,195
2023-04-02,197
2023-04-03,328
2023-04-04,324
2023-04-05,327
2023-04-06,273
2023-04-07,301
2023-04-08,146
2023-04-09,131
2023-04-10,250
2023-04-11,240
2023-04-12,214
2023-04-13,239
2023-04-14,203
2023-04-15,94
2023-04-16,95
2023-04-17,187
2023-04-18,173
2023-04-19,181
2023-04-20,192
2023-04-21,155
2023-04-22,82
2023-04-23,90
2023-04-24,140
2023-04-25,171
2023-04-26,133
2023-04-27,139
2023-04-28,138
2023-04-29,67
2023-04-30,71
2023-05-01,121
2023-05-02,126
2023-05-03,126
2023-05-04,126
2023-05-05,149
2023-05-06,72
2023-05-07,81
2023-05-08,122
2023-05-09,98
2023-05-10,123
2023-05-11,116
2023-05-12,114
2023-05-13,56
2023-05-14,67
2023-05-15,136
2023-05-16,134
2023-05-17,131
2023-05-18,117
2023-05-19,99
2023-05-20,45
2023-05-21,49
2023-05-22,107
2023-05-23,107
2023-05-24,119
2023-05-25,89
2023-05-26,101
2023-05-27,57
2023-05-28,50
2023-05-29,83
2023-05-30,110
