day,I
1,79
2,102
3,108
4,96
5,116
6,92
7,96
8,108
9,163
10,87
11,97
12,76
13,140
14,138
15,113
16,105
17,145
18,138
19,97
20,67
21,134
22,170
23,132
24,132
25,225
26,138
27,109
28,139
29,158
30,162
31,239
32,202
33,215
34,132
35,310
36,229
37,171
38,342
39,452
40,468
41,283
42,418
43,410
44,512
45,353
46,506
47,560
48,633
49,609
50,717
51,553
52,1046
53,937
54,822
55,882
56,996
57,922
58,1168
59,1308
60,1164
61,1285
62,1299
63,1744
64,1326
65,1584
66,1386
67,1658
68,1354
69,1698
70,1792
71,1619
72,1756
73,1839
74,1754
75,1805
76,2166
77,2108
78,1939
79,1971
80,2010
81,2032
82,1865
83,2012
84,2149
85,2008
86,1899
87,1898
88,1881
89,1848
90,1844
91,1866
92,1582
93,1880
94,1520
95,1680
96,1572
97,1457
98,1341
99,1443
100,1495
101,1392
102,1290
103,1469
104,1250
105,1241
106,1258
107,1349
108,1021
109,984
110,1076
111,965
112,970
113,909
114,854
115,942
116,848
117,642
118,624
119,761
120,691
121,722
122,600
123,629
124,762
125,708
126,472
127,453
128,578
129,534
130,496
131,650
132,491
133,459
134,497
135,375
136,451
137,449
138,426
139,450
140,372
141,411
142,402
143,447
144,269
145,369
146,387
147,328
148,396
149,335
150,463
