date,hospitalisations
2023-01-01,5
2023-01-02,10
2023-01-03,7
2023-01-04,5
2023-01-05,7
2023-01-06,4
2023-01-07,5
2023-01-08,3
2023-01-09,7
2023-01-10,10
2023-01-11,4
2023-01-12,5
2023-01-13,11
2023-01-14,0
2023-01-15,2
2023-01-16,4
2023-01-17,5
2023-01-18,3
2023-01-19,4
2023-01-20,6
2023-01-21,1
2023-01-22,1
2023-01-23,4
2023-01-24,4
2023-01-25,8
2023-01-26,5
2023-01-27,2
2023-01-28,4
2023-01-29,2
2023-01-30,4
2023-01-31,8
2023-02-01,3
2023-02-02,9
2023-02-03,6
2023-02-04,1
2023-02-05,3
2023-02-06,3
2023-02-07,4
2023-02-08,9
2023-02-09,5
2023-02-10,5
2023-02-11,2
2023-02-12,6
2023-02-13,7
2023-02-14,7
2023-02-15,10
2023-02-16,3
2023-02-17,6
2023-02-18,4
2023-02-19,6
2023-02-20,10
2023-02-21,6
2023-02-22,7
2023-02-23,11
2023-02-24,10
2023-02-25,6
2023-02-26,6
2023-02-27,9
2023-02-28,17
2023-03-01,7
2023-03-02,14
2023-03-03,15
2023-03-04,5
2023-03-05,8
2023-03-06,9
2023-03-07,7
2023-03-08,16
2023-03-09,12
2023-03-10,16
2023-03-11,7
2023-03-12,7
2023-03-13,16
2023-03-14,17
2023-03-15,18
2023-03-16,16
2023-03-17,16
2023-03-18,4
2023-03-19,15
2023-03-20,13
2023-03-21,16
2023-03-22,12
2023-03-23,17
2023-03-24,11
2023-03-25,12
2023-03-26,11
2023-03-27,17
2023-03-28,19
2023-03-29,20
2023-03-30,23
2023-03-31,28
2023-04-01,13
2023-04-02,8
2023-04-03,18
2023-04-04,16
2023-04-05,11
2023-04-06,29
2023-04-07,35
2023-04-08,12
2023-04-09,8
2023-04-10,19
2023-04-11,18
2023-04-12,20
2023-04-13,23
2023-04-14,32
2023-04-15,20
2023-04-16,15
2023-04-17,24
2023-04-18,18
2023-04-19,18
2023-04-20,25
2023-04-21,22
2023-04-22,15
2023-04-23,14
2023-04-24,26
2023-04-25,20
2023-04-26,19
2023-04-27,25
2023-04-28,20
2023-04-29,10
2023-04-30,9
2023-05-01,17
2023-05-02,19
2023-05-03,20
2023-05-04,10
2023-05-05,14
2023-05-06,5
2023-05-07,12
2023-05-08,8
2023-05-09,18
2023-05-10,13
2023-05-11,9
2023-05-12,17
2023-05-13,6
2023-05-14,8
2023-05-15,12
2023-05-16,4
2023-05-17,13
2023-05-18,8
2023-05-19,11
2023-05-20,4
2023-05-21,7
2023-05-22,12
2023-05-23,15
2023-05-24,11
2023-05-25,8
2023-05-26,7
2023-05-27,5
2023-05-28,6
2023-05-29,4
2023-05-30,10
