date,hospitalisations
2023-01-01,7
2023-01-02,10
2023-01-03,4
2023-01-04,12
2023-01-05,5
2023-01-06,9
2023-01-07,1
2023-01-08,1
2023-01-09,8
2023-01-10,5
2023-01-11,7
2023-01-12,7
2023-01-13,6
2023-01-14,1
2023-01-15,1
2023-01-16,5
2023-01-17,3
2023-01-18,3
2023-01-19,6
2023-01-20,5
2023-01-21,3
2023-01-22,2
2023-01-23,5
2023-01-24,8
2023-01-25,7
2023-01-26,4
2023-01-27,5
2023-01-28,5
2023-01-29,3
2023-01-30,5
2023-01-31,10
2023-02-01,8
2023-02-02,5
2023-02-03,8
2023-02-04,3
2023-02-05,2
2023-02-06,5
2023-02-07,5
2023-02-08,8
2023-02-09,6
2023-02-10,7
2023-02-11,4
2023-02-12,6
2023-02-13,7
2023-02-14,11
2023-02-15,5
2023-02-16,10
2023-02-17,3
2023-02-18,5
2023-02-19,5
2023-02-20,6
2023-02-21,7
2023-02-22,9
2023-02-23,9
2023-02-24,11
2023-02-25,4
2023-02-26,3
2023-02-27,14
2023-02-28,8
2023-03-01,12
2023-03-02,9
2023-03-03,9
2023-03-04,3
2023-03-05,4
2023-03-06,14
2023-03-07,4
2023-03-08,19
2023-03-09,20
2023-03-10,20
2023-03-11,6
2023-03-12,10
2023-03-13,12
2023-03-14,14
2023-03-15,18
2023-03-16,13
2023-03-17,15
2023-03-18,10
2023-03-19,8
2023-03-20,16
2023-03-21,15
2023-03-22,16
2023-03-23,12
2023-03-24,14
2023-03-25,11
2023-03-26,10
2023-03-27,16
2023-03-28,21
2023-03-29,10
2023-03-30,21
2023-03-31,14
2023-04-01,14
2023-04-02,12
2023-04-03,24
2023-04-04,22
2023-04-05,22
2023-04-06,20
2023-04-07,19
2023-04-08,7
2023-04-09,5
2023-04-10,24
2023-04-11,11
2023-04-12,14
2023-04-13,22
2023-04-14,22
2023-04-15,14
2023-04-16,12
2023-04-17,16
2023-04-18,29
2023-04-19,11
2023-04-20,22
2023-04-21,17
2023-04-22,9
2023-04-23,7
2023-04-24,14
2023-04-25,19
2023-04-26,20
2023-04-27,16
2023-04-28,16
2023-04-29,10
2023-04-30,5
2023-05-01,14
2023-05-02,17
2023-05-03,17
2023-05-04,20
2023-05-05,18
2023-05-06,9
2023-05-07,11
2023-05-08,21
2023-05-09,19
2023-05-10,17
2023-05-11,15
2023-05-12,11
2023-05-13,5
2023-05-14,10
2023-05-15,15
2023-05-16,15
2023-05-17,19
2023-05-18,12
2023-05-19,10
2023-05-20,1
2023-05-21,5
2023-05-22,15
2023-05-23,15
2023-05-24,9
2023-05-25,9
2023-05-26,15
2023-05-27,2
2023-05-28,5
2023-05-29,8
2023-05-30,16
