date,cases
2023-01-01,28
2023-01-02,50
2023-01-03,70
2023-01-04,61
2023-01-05,65
2023-01-06,43
2023-01-07,25
2023-01-08,30
2023-01-09,40
2023-01-10,38
2023-01-11,57
2023-01-12,32
2023-01-13,11
2023-01-14,27
2023-01-15,11
2023-01-16,23
2023-01-17,27
2023-01-18,59
2023-01-19,41
2023-01-20,48
2023-01-21,29
2023-01-22,22
2023-01-23,66
2023-01-24,85
2023-01-25,95
2023-01-26,47
2023-01-27,37
2023-01-28,45
2023-01-29,25
2023-01-30,36
2023-01-31,59
2023-02-01,48
2023-02-02,26
2023-02-03,95
2023-02-04,15
2023-02-05,49
2023-02-06,90
2023-02-07,20
2023-02-08,66
2023-02-09,76
2023-02-10,125
2023-02-11,19
2023-02-12,33
2023-02-13,89
2023-02-14,107
2023-02-15,142
2023-02-16,125
2023-02-17,89
2023-02-18,48
2023-02-19,107
2023-02-20,116
2023-02-21,112
2023-02-22,122
2023-02-23,350
2023-02-24,220
2023-02-25,45
2023-02-26,69
2023-02-27,165
2023-02-28,193
2023-03-01,183
2023-03-02,173
2023-03-03,121
2023-03-04,164
2023-03-05,57
2023-03-06,123
2023-03-07,497
2023-03-08,350
2023-03-09,306
2023-03-10,284
2023-03-11,164
2023-03-12,168
2023-03-13,127
2023-03-14,341
2023-03-15,261
2023-03-16,212
2023-03-17,444
2023-03-18,119
2023-03-19,184
2023-03-20,416
2023-03-21,283
2023-03-22,276
2023-03-23,215
2023-03-24,280
2023-03-25,166
2023-03-26,223
2023-03-27,342
2023-03-28,323
2023-03-29,181
2023-03-30,310
2023-03-31,572
2023-04-01,130
2023-04-02,176
2023-04-03,279
2023-04-04,185
2023-04-05,189
2023-04-06,412
2023-04-07,168
2023-04-08,187
2023-04-09,137
2023-04-10,170
2023-04-11,101
2023-04-12,193
2023-04-13,205
2023-04-14,297
2023-04-15,116
2023-04-16,95
2023-04-17,128
2023-04-18,162
2023-04-19,183
2023-04-20,89
2023-04-21,82
2023-04-22,96
2023-04-23,53
2023-04-24,164
2023-04-25,137
2023-04-26,94
2023-04-27,173
2023-04-28,110
2023-04-29,58
2023-04-30,51
2023-05-01,76
2023-05-02,73
2023-05-03,95
2023-05-04,94
2023-05-05,116
2023-05-06,61
2023-05-07,46
2023-05-08,91
2023-05-09,112
2023-05-10,67
2023-05-11,80
2023-05-12,134
2023-05-13,71
2023-05-14,75
2023-05-15,94
2023-05-16,47
2023-05-17,57
2023-05-18,123
2023-05-19,50
2023-05-20,38
2023-05-21,38
2023-05-22,110
2023-05-23,61
2023-05-24,42
2023-05-25,81
2023-05-26,32
2023-05-27,44
2023-05-28,28
2023-05-29,45
2023-05-30,100
