date,hospitalisations
2023-01-01,2
2023-01-02,4
2023-01-03,3
2023-01-04,13
2023-01-05,5
2023-01-06,8
2023-01-07,4
2023-01-08,2
2023-01-09,7
2023-01-10,4
2023-01-11,12
2023-01-12,6
2023-01-13,3
2023-01-14,1
2023-01-15,3
2023-01-16,5
2023-01-17,7
2023-01-18,7
2023-01-19,0
2023-01-20,7
2023-01-21,3
2023-01-22,1
2023-01-23,8
2023-01-24,10
2023-01-25,3
2023-01-26,4
2023-01-27,2
2023-01-28,3
2023-01-29,2
2023-01-30,6
2023-01-31,9
2023-02-01,0
2023-02-02,5
2023-02-03,5
2023-02-04,2
2023-02-05,6
2023-02-06,8
2023-02-07,6
2023-02-08,6
2023-02-09,7
2023-02-10,10
2023-02-11,5
2023-02-12,3
2023-02-13,5
2023-02-14,7
2023-02-15,10
2023-02-16,5
2023-02-17,7
2023-02-18,2
2023-02-19,4
2023-02-20,7
2023-02-21,7
2023-02-22,5
2023-02-23,8
2023-02-24,6
2023-02-25,4
2023-02-26,8
2023-02-27,7
2023-02-28,13
2023-03-01,15
2023-03-02,11
2023-03-03,11
2023-03-04,5
2023-03-05,7
2023-03-06,14
2023-03-07,14
2023-03-08,14
2023-03-09,20
2023-03-10,12
2023-03-11,9
2023-03-12,8
2023-03-13,15
2023-03-14,17
2023-03-15,20
2023-03-16,18
2023-03-17,17
2023-03-18,9
2023-03-19,11
2023-03-20,14
2023-03-21,13
2023-03-22,17
2023-03-23,13
2023-03-24,22
2023-03-25,12
2023-03-26,5
2023-03-27,19
2023-03-28,27
2023-03-29,18
2023-03-30,14
2023-03-31,24
2023-04-01,8
2023-04-02,11
2023-04-03,25
2023-04-04,20
2023-04-05,20
2023-04-06,21
2023-04-07,22
2023-04-08,7
2023-04-09,14
2023-04-10,17
2023-04-11,12
2023-04-12,25
2023-04-13,19
2023-04-14,26
2023-04-15,12
2023-04-16,10
2023-04-17,25
2023-04-18,21
2023-04-19,18
2023-04-20,20
2023-04-21,25
2023-04-22,6
2023-04-23,6
2023-04-24,20
2023-04-25,27
2023-04-26,16
2023-04-27,11
2023-04-28,18
2023-04-29,7
2023-04-30,8
2023-05-01,16
2023-05-02,9
2023-05-03,9
2023-05-04,19
2023-05-05,14
2023-05-06,9
2023-05-07,7
2023-05-08,16
2023-05-09,15
2023-05-10,19
2023-05-11,18
2023-05-12,17
2023-05-13,14
2023-05-14,5
2023-05-15,19
2023-05-16,11
2023-05-17,16
2023-05-18,15
2023-05-19,13
2023-05-20,2
2023-05-21,7
2023-05-22,12
2023-05-23,12
2023-05-24,12
2023-05-25,11
2023-05-26,6
2023-05-27,5
2023-05-28,2
2023-05-29,10
2023-05-30,8
