day,I
1,115
2,122
3,79
4,82
5,89
6,105
7,97
8,102
9,76
10,92
11,92
12,65
13,78
14,101
15,105
16,73
17,89
18,87
19,91
20,95
21,101
22,93
23,103
24,89
25,93
26,116
27,119
28,110
29,124
30,114
31,123
32,117
33,124
34,157
35,145
36,163
37,157
38,169
39,170
40,192
41,208
42,210
43,226
44,243
45,248
46,262
47,298
48,320
49,313
50,368
51,403
52,401
53,392
54,411
55,445
56,515
57,510
58,517
59,533
60,578
61,620
62,606
63,699
64,698
65,719
66,736
67,728
68,811
69,811
70,829
71,874
72,889
73,855
74,915
75,908
76,939
77,923
78,955
79,920
80,935
81,930
82,918
83,938
84,938
85,947
86,914
87,907
88,845
89,873
90,880
91,842
92,818
93,825
94,785
95,704
96,766
97,732
98,708
99,685
100,618
101,678
102,632
103,555
104,598
105,548
106,557
107,503
108,475
109,462
110,484
111,421
112,436
113,427
114,381
115,364
116,407
117,340
118,349
119,344
120,319
121,309
122,309
123,296
124,328
125,273
126,251
127,244
128,233
129,227
130,226
131,234
132,216
133,182
134,175
135,204
136,195
137,172
138,175
139,185
140,160
141,144
142,153
143,141
144,131
145,136
146,117
147,125
148,113
149,103
150,115
