date,cases
2023-01-01,14
2023-01-02,30
2023-01-03,38
2023-01-04,29
2023-01-05,42
2023-01-06,61
2023-01-07,21
2023-01-08,15
2023-01-09,45
2023-01-10,31
2023-01-11,41
2023-01-12,38
2023-01-13,47
2023-01-14,28
2023-01-15,24
2023-01-16,45
2023-01-17,33
2023-01-18,29
2023-01-19,27
2023-01-20,40
2023-01-21,15
2023-01-22,20
2023-01-23,51
2023-01-24,47
2023-01-25,48
2023-01-26,42
2023-01-27,47
2023-01-28,20
2023-01-29,23
2023-01-30,33
2023-01-31,41
2023-02-01,43
2023-02-02,50
2023-02-03,49
2023-02-04,33
2023-02-05,24
2023-02-06,63
2023-02-07,57
2023-02-08,76
2023-02-09,58
2023-02-10,69
2023-02-11,36
2023-02-12,43
2023-02-13,86
2023-02-14,101
2023-02-15,76
2023-02-16,88
2023-02-17,109
2023-02-18,59
2023-02-19,69
2023-02-20,132
2023-02-21,136
2023-02-22,151
2023-02-23,153
2023-02-24,150
2023-02-25,78
2023-02-26,95
2023-02-27,209
2023-02-28,212
2023-03-01,216
2023-03-02,247
2023-03-03,261
2023-03-04,125
2023-03-05,145
2023-03-06,291
2023-03-07,336
2023-03-08,352
2023-03-09,333
2023-03-10,346
2023-03-11,189
2023-03-12,189
2023-03-13,363
2023-03-14,374
2023-03-15,443
2023-03-16,416
2023-03-17,408
2023-03-18,214
2023-03-19,196
2023-03-20,502
2023-03-21,429
2023-03-22,472
2023-03-23,438
2023-03-24,439
2023-03-25,212
2023-03-26,249
2023-03-27,465
2023-03-28,469
2023-03-29,456
2023-03-30,448
2023-03-31,450
2023-04-01,213
2023-04-02,221
2023-04-03,428
2023-04-04,418
2023-04-05,373
2023-04-06,387
2023-04-07,346
2023-04-08,178
2023-04-09,160
2023-04-10,357
2023-04-11,326
2023-04-12,317
2023-04-13,322
2023-04-14,288
2023-04-15,165
2023-04-16,124
2023-04-17,253
2023-04-18,242
2023-04-19,213
2023-04-20,219
2023-04-21,225
2023-04-22,101
2023-04-23,95
2023-04-24,193
2023-04-25,172
2023-04-26,173
2023-04-27,153
2023-04-28,164
2023-04-29,75
2023-04-30,76
2023-05-01,144
2023-05-02,139
2023-05-03,149
2023-05-04,136
2023-05-05,122
2023-05-06,84
2023-05-07,71
2023-05-08,129
2023-05-09,137
2023-05-10,130
2023-05-11,151
2023-05-12,109
2023-05-13,69
2023-05-14,59
2023-05-15,101
2023-05-16,129
2023-05-17,131
2023-05-18,108
2023-05-19,96
2023-05-20,44
2023-05-21,48
2023-05-22,116
2023-05-23,106
2023-05-24,108
2023-05-25,88
2023-05-26,98
2023-05-27,50
2023-05-28,41
2023-05-29,96
2023-05-30,89
