date,hospitalisations
2023-01-01,8
2023-01-02,10
2023-01-03,24
2023-01-04,8
2023-01-05,5
2023-01-06,13
2023-01-07,2
2023-01-08,8
2023-01-09,8
2023-01-10,2
2023-01-11,1
2023-01-12,6
2023-01-13,7
2023-01-14,3
2023-01-15,1
2023-01-16,6
2023-01-17,5
2023-01-18,2
2023-01-19,0
2023-01-20,5
2023-01-21,6
2023-01-22,4
2023-01-23,4
2023-01-24,3
2023-01-25,1
2023-01-26,3
2023-01-27,8
2023-01-28,2
2023-01-29,2
2023-01-30,3
2023-01-31,4
2023-02-01,1
2023-02-02,5
2023-02-03,5
2023-02-04,2
2023-02-05,6
2023-02-06,3
2023-02-07,1
2023-02-08,4
2023-02-09,6
2023-02-10,14
2023-02-11,1
2023-02-12,4
2023-02-13,5
2023-02-14,13
2023-02-15,2
2023-02-16,6
2023-02-17,15
2023-02-18,6
2023-02-19,3
2023-02-20,13
2023-02-21,20
2023-02-22,19
2023-02-23,31
2023-02-24,26
2023-02-25,12
2023-02-26,12
2023-02-27,31
2023-02-28,73
2023-03-01,51
2023-03-02,32
2023-03-03,123
2023-03-04,33
2023-03-05,31
2023-03-06,129
2023-03-07,139
2023-03-08,151
2023-03-09,126
2023-03-10,148
2023-03-11,47
2023-03-12,79
2023-03-13,168
2023-03-14,224
2023-03-15,274
2023-03-16,169
2023-03-17,139
2023-03-18,87
2023-03-19,185
2023-03-20,366
2023-03-21,483
2023-03-22,555
2023-03-23,576
2023-03-24,610
2023-03-25,92
2023-03-26,190
2023-03-27,510
2023-03-28,217
2023-03-29,693
2023-03-30,773
2023-03-31,430
2023-04-01,384
2023-04-02,415
2023-04-03,782
2023-04-04,499
2023-04-05,806
2023-04-06,501
2023-04-07,483
2023-04-08,181
2023-04-09,406
2023-04-10,347
2023-04-11,552
2023-04-12,1105
2023-04-13,466
2023-04-14,364
2023-04-15,227
2023-04-16,294
2023-04-17,681
2023-04-18,335
2023-04-19,203
2023-04-20,436
2023-04-21,358
2023-04-22,174
2023-04-23,143
2023-04-24,174
2023-04-25,432
2023-04-26,346
2023-04-27,314
2023-04-28,158
2023-04-29,130
2023-04-30,125
2023-05-01,206
2023-05-02,234
2023-05-03,189
2023-05-04,73
2023-05-05,146
2023-05-06,79
2023-05-07,64
2023-05-08,116
2023-05-09,212
2023-05-10,99
2023-05-11,39
2023-05-12,214
2023-05-13,69
2023-05-14,51
2023-05-15,54
2023-05-16,55
2023-05-17,43
2023-05-18,53
2023-05-19,83
2023-05-20,48
2023-05-21,31
2023-05-22,26
2023-05-23,43
2023-05-24,23
2023-05-25,28
2023-05-26,50
2023-05-27,16
2023-05-28,13
2023-05-29,34
2023-05-30,33
