day,I
1,96
2,86
3,85
4,80
5,82
6,72
7,74
8,75
9,57
10,70
11,80
12,57
13,70
14,73
15,67
16,66
17,77
18,74
19,69
20,61
21,75
22,95
23,71
24,96
25,79
26,101
27,107
28,92
29,94
30,135
31,113
32,158
33,141
34,140
35,181
36,160
37,201
38,244
39,235
40,254
41,331
42,311
43,382
44,428
45,420
46,563
47,589
48,639
49,759
50,829
51,878
52,1048
53,1197
54,1286
55,1345
56,1541
57,1722
58,1864
59,1982
60,2183
61,2406
62,2542
63,2772
64,2937
65,3227
66,3384
67,3641
68,3805
69,4086
70,4264
71,4591
72,4763
73,5016
74,5135
75,5388
76,5565
77,5682
78,5903
79,5984
80,6122
81,6075
82,6209
83,6191
84,6122
85,6152
86,6194
87,5986
88,5966
89,5904
90,5772
91,5600
92,5330
93,5042
94,4942
95,4801
96,4385
97,4194
98,4141
99,3704
100,3423
101,3283
102,3066
103,2848
104,2741
105,2568
106,2393
107,2300
108,2073
109,2011
110,1801
111,1742
112,1668
113,1541
114,1369
115,1347
116,1252
117,1140
118,1130
119,1030
120,960
121,910
122,863
123,844
124,726
125,728
126,680
127,666
128,617
129,565
130,513
131,511
132,463
133,454
134,410
135,398
136,393
137,332
138,294
139,322
140,303
141,272
142,243
143,255
144,238
145,232
146,219
147,182
148,172
149,178
150,149
