date,cases
2023-01-01,48
2023-01-02,43
2023-01-03,90
2023-01-04,40
2023-01-05,81
2023-01-06,31
2023-01-07,27
2023-01-08,18
2023-01-09,30
2023-01-10,26
2023-01-11,41
2023-01-12,19
2023-01-13,55
2023-01-14,16
2023-01-15,14
2023-01-16,30
2023-01-17,11
2023-01-18,35
2023-01-19,21
2023-01-20,34
2023-01-21,28
2023-01-22,12
2023-01-23,29
2023-01-24,18
2023-01-25,36
2023-01-26,31
2023-01-27,68
2023-01-28,16
2023-01-29,19
2023-01-30,46
2023-01-31,52
2023-02-01,95
2023-02-02,81
2023-02-03,49
2023-02-04,44
2023-02-05,23
2023-02-06,105
2023-02-07,76
2023-02-08,133
2023-02-09,91
2023-02-10,116
2023-02-11,42
2023-02-12,34
2023-02-13,123
2023-02-14,251
2023-02-15,159
2023-02-16,240
2023-02-17,160
2023-02-18,58
2023-02-19,212
2023-02-20,318
2023-02-21,310
2023-02-22,183
2023-02-23,305
2023-02-24,294
2023-02-25,165
2023-02-26,238
2023-02-27,180
2023-02-28,650
2023-03-01,693
2023-03-02,497
2023-03-03,666
2023-03-04,356
2023-03-05,530
2023-03-06,507
2023-03-07,926
2023-03-08,500
2023-03-09,967
2023-03-10,500
2023-03-11,574
2023-03-12,474
2023-03-13,929
2023-03-14,2037
2023-03-15,1293
2023-03-16,1592
2023-03-17,1262
2023-03-18,759
2023-03-19,881
2023-03-20,1328
2023-03-21,891
2023-03-22,959
2023-03-23,983
2023-03-24,1251
2023-03-25,474
2023-03-26,639
2023-03-27,1046
2023-03-28,963
2023-03-29,2233
2023-03-30,735
2023-03-31,1450
2023-04-01,589
2023-04-02,570
2023-04-03,1691
2023-04-04,986
2023-04-05,687
2023-04-06,1042
2023-04-07,1093
2023-04-08,689
2023-04-09,458
2023-04-10,745
2023-04-11,886
2023-04-12,823
2023-04-13,582
2023-04-14,757
2023-04-15,152
2023-04-16,285
2023-04-17,393
2023-04-18,573
2023-04-19,593
2023-04-20,208
2023-04-21,396
2023-04-22,249
2023-04-23,151
2023-04-24,420
2023-04-25,272
2023-04-26,168
2023-04-27,305
2023-04-28,297
2023-04-29,56
2023-04-30,171
2023-05-01,188
2023-05-02,245
2023-05-03,259
2023-05-04,88
2023-05-05,165
2023-05-06,77
2023-05-07,81
2023-05-08,236
2023-05-09,132
2023-05-10,114
2023-05-11,195
2023-05-12,107
2023-05-13,43
2023-05-14,87
2023-05-15,88
2023-05-16,119
2023-05-17,121
2023-05-18,67
2023-05-19,101
2023-05-20,50
2023-05-21,59
2023-05-22,90
2023-05-23,79
2023-05-24,98
2023-05-25,72
2023-05-26,86
2023-05-27,34
2023-05-28,19
2023-05-29,38
2023-05-30,84
