date,cases
2023-01-01,11
2023-01-02,27
2023-01-03,41
2023-01-04,39
2023-01-05,45
2023-01-06,62
2023-01-07,32
2023-01-08,25
2023-01-09,51
2023-01-10,57
2023-01-11,47
2023-01-12,61
2023-01-13,57
2023-01-14,41
2023-01-15,25
2023-01-16,62
2023-01-17,71
2023-01-18,91
2023-01-19,102
2023-01-20,95
2023-01-21,57
2023-01-22,54
2023-01-23,103
2023-01-24,130
2023-01-25,119
2023-01-26,148
2023-01-27,148
2023-01-28,76
2023-01-29,87
2023-01-30,145
2023-01-31,183
2023-02-01,182
2023-02-02,190
2023-02-03,174
2023-02-04,96
2023-02-05,107
2023-02-06,213
2023-02-07,230
2023-02-08,220
2023-02-09,218
2023-02-10,235
2023-02-11,111
2023-02-12,100
2023-02-13,184
2023-02-14,194
2023-02-15,184
2023-02-16,163
2023-02-17,152
2023-02-18,81
2023-02-19,63
2023-02-20,113
2023-02-21,127
2023-02-22,122
2023-02-23,82
2023-02-24,85
2023-02-25,41
2023-02-26,26
2023-02-27,63
2023-02-28,64
2023-03-01,54
2023-03-02,41
2023-03-03,54
2023-03-04,23
2023-03-05,23
2023-03-06,44
2023-03-07,39
2023-03-08,36
2023-03-09,38
2023-03-10,49
2023-03-11,24
2023-03-12,16
2023-03-13,38
2023-03-14,31
2023-03-15,28
2023-03-16,44
2023-03-17,51
2023-03-18,22
2023-03-19,13
2023-03-20,33
2023-03-21,44
2023-03-22,38
2023-03-23,53
2023-03-24,53
2023-03-25,28
2023-03-26,36
2023-03-27,57
2023-03-28,63
2023-03-29,67
2023-03-30,74
2023-03-31,63
2023-04-01,41
2023-04-02,33
2023-04-03,88
2023-04-04,81
2023-04-05,83
2023-04-06,72
2023-04-07,70
2023-04-08,35
2023-04-09,36
2023-04-10,80
2023-04-11,64
2023-04-12,65
2023-04-13,60
2023-04-14,53
2023-04-15,29
2023-04-16,24
2023-04-17,54
2023-04-18,33
2023-04-19,32
2023-04-20,29
2023-04-21,26
2023-04-22,17
2023-04-23,13
2023-04-24,22
2023-04-25,29
2023-04-26,30
2023-04-27,26
2023-04-28,24
2023-04-29,7
2023-04-30,10
2023-05-01,16
2023-05-02,10
2023-05-03,14
2023-05-04,11
2023-05-05,16
2023-05-06,8
2023-05-07,10
2023-05-08,19
2023-05-09,17
2023-05-10,18
2023-05-11,16
2023-05-12,20
2023-05-13,11
2023-05-14,9
2023-05-15,26
2023-05-16,23
2023-05-17,31
2023-05-18,43
2023-05-19,44
2023-05-20,17
2023-05-21,20
2023-05-22,32
2023-05-23,51
2023-05-24,53
2023-05-25,41
2023-05-26,65
2023-05-27,27
2023-05-28,38
2023-05-29,62
2023-05-30,85
