day,I
1,103
2,86
3,105
4,120
5,126
6,117
7,95
8,127
9,128
10,136
11,151
12,156
13,160
14,155
15,189
16,172
17,201
18,192
19,234
20,241
21,248
22,301
23,271
24,308
25,331
26,364
27,359
28,344
29,384
30,411
31,417
32,435
33,420
34,379
35,426
36,401
37,378
38,362
39,327
40,353
41,337
42,283
43,269
44,235
45,212
46,212
47,155
48,168
49,148
50,123
51,123
52,111
53,96
54,104
55,81
56,77
57,70
58,66
59,98
60,64
61,55
62,59
63,74
64,74
65,68
66,56
67,66
68,89
69,69
70,63
71,85
72,95
73,95
74,100
75,120
76,110
77,112
78,116
79,164
80,123
81,140
82,153
83,202
84,203
85,157
86,214
87,200
88,235
89,224
90,252
91,241
92,261
93,254
94,277
95,260
96,240
97,234
98,237
99,242
100,222
101,208
102,205
103,167
104,206
105,137
106,145
107,122
108,134
109,128
110,110
111,84
112,82
113,79
114,75
115,85
116,54
117,69
118,68
119,69
120,49
121,69
122,49
123,59
124,57
125,65
126,63
127,51
128,50
129,75
130,62
131,64
132,85
133,76
134,81
135,100
136,76
137,93
138,89
139,105
140,110
141,118
142,162
143,142
144,136
145,161
146,162
147,175
148,215
149,173
150,218
