date,hospitalisations
2023-01-01,0
2023-01-02,12
2023-01-03,7
2023-01-04,3
2023-01-05,8
2023-01-06,6
2023-01-07,1
2023-01-08,4
2023-01-09,8
2023-01-10,6
2023-01-11,2
2023-01-12,7
2023-01-13,3
2023-01-14,4
2023-01-15,2
2023-01-16,11
2023-01-17,8
2023-01-18,6
2023-01-19,2
2023-01-20,6
2023-01-21,3
2023-01-22,1
2023-01-23,4
2023-01-24,2
2023-01-25,4
2023-01-26,6
2023-01-27,4
2023-01-28,1
2023-01-29,3
2023-01-30,8
2023-01-31,8
2023-02-01,5
2023-02-02,3
2023-02-03,6
2023-02-04,2
2023-02-05,0
2023-02-06,10
2023-02-07,5
2023-02-08,6
2023-02-09,11
2023-02-10,7
2023-02-11,1
2023-02-12,1
2023-02-13,10
2023-02-14,11
2023-02-15,3
2023-02-16,4
2023-02-17,4
2023-02-18,1
2023-02-19,1
2023-02-20,7
2023-02-21,9
2023-02-22,12
2023-02-23,8
2023-02-24,23
2023-02-25,4
2023-02-26,2
2023-02-27,8
2023-02-28,14
2023-03-01,8
2023-03-02,13
2023-03-03,8
2023-03-04,2
2023-03-05,3
2023-03-06,9
2023-03-07,17
2023-03-08,14
2023-03-09,9
2023-03-10,6
2023-03-11,4
2023-03-12,3
2023-03-13,15
2023-03-14,30
2023-03-15,13
2023-03-16,16
2023-03-17,14
2023-03-18,6
2023-03-19,3
2023-03-20,18
2023-03-21,21
2023-03-22,23
2023-03-23,31
2023-03-24,9
2023-03-25,8
2023-03-26,4
2023-03-27,26
2023-03-28,24
2023-03-29,17
2023-03-30,15
2023-03-31,24
2023-04-01,14
2023-04-02,9
2023-04-03,14
2023-04-04,28
2023-04-05,6
2023-04-06,32
2023-04-07,24
2023-04-08,9
2023-04-09,4
2023-04-10,34
2023-04-11,8
2023-04-12,21
2023-04-13,14
2023-04-14,28
2023-04-15,1
2023-04-16,3
2023-04-17,31
2023-04-18,23
2023-04-19,15
2023-04-20,18
2023-04-21,22
2023-04-22,11
2023-04-23,6
2023-04-24,19
2023-04-25,20
2023-04-26,16
2023-04-27,36
2023-04-28,19
2023-04-29,3
2023-04-30,0
2023-05-01,30
2023-05-02,16
2023-05-03,10
2023-05-04,19
2023-05-05,7
2023-05-06,3
2023-05-07,4
2023-05-08,19
2023-05-09,19
2023-05-10,7
2023-05-11,13
2023-05-12,17
2023-05-13,3
2023-05-14,1
2023-05-15,20
2023-05-16,11
2023-05-17,20
2023-05-18,7
2023-05-19,4
2023-05-20,3
2023-05-21,8
2023-05-22,10
2023-05-23,10
2023-05-24,23
2023-05-25,12
2023-05-26,12
2023-05-27,0
2023-05-28,0
2023-05-29,10
2023-05-30,7
