date,cases
2023-01-01,7
2023-01-02,22
2023-01-03,28
2023-01-04,28
2023-01-05,35
2023-01-06,39
2023-01-07,5
2023-01-08,4
2023-01-09,30
2023-01-10,32
2023-01-11,24
2023-01-12,33
2023-01-13,24
2023-01-14,8
2023-01-15,3
2023-01-16,17
2023-01-17,20
2023-01-18,23
2023-01-19,20
2023-01-20,20
2023-01-21,8
2023-01-22,7
2023-01-23,21
2023-01-24,19
2023-01-25,19
2023-01-26,20
2023-01-27,18
2023-01-28,3
2023-01-29,4
2023-01-30,32
2023-01-31,34
2023-02-01,24
2023-02-02,28
2023-02-03,15
2023-02-04,10
2023-02-05,11
2023-02-06,30
2023-02-07,25
2023-02-08,38
2023-02-09,30
2023-02-10,36
2023-02-11,13
2023-02-12,10
2023-02-13,41
2023-02-14,38
2023-02-15,40
2023-02-16,40
2023-02-17,45
2023-02-18,16
2023-02-19,12
2023-02-20,48
2023-02-21,52
2023-02-22,34
2023-02-23,61
2023-02-24,66
2023-02-25,15
2023-02-26,21
2023-02-27,59
2023-02-28,71
2023-03-01,75
2023-03-02,105
2023-03-03,99
2023-03-04,22
2023-03-05,24
2023-03-06,111
2023-03-07,139
2023-03-08,116
2023-03-09,128
2023-03-10,130
2023-03-11,41
2023-03-12,31
2023-03-13,144
2023-03-14,134
2023-03-15,180
2023-03-16,159
2023-03-17,163
2023-03-18,43
2023-03-19,47
2023-03-20,166
2023-03-21,179
2023-03-22,163
2023-03-23,194
2023-03-24,168
2023-03-25,39
2023-03-26,55
2023-03-27,170
2023-03-28,156
2023-03-29,150
2023-03-30,182
2023-03-31,150
2023-04-01,38
2023-04-02,41
2023-04-03,183
2023-04-04,149
2023-04-05,162
2023-04-06,148
2023-04-07,136
2023-04-08,39
2023-04-09,30
2023-04-10,146
2023-04-11,147
2023-04-12,132
2023-04-13,124
2023-04-14,98
2023-04-15,28
2023-04-16,31
2023-04-17,118
2023-04-18,130
2023-04-19,97
2023-04-20,84
2023-04-21,82
2023-04-22,19
2023-04-23,21
2023-04-24,85
2023-04-25,59
2023-04-26,64
2023-04-27,62
2023-04-28,58
2023-04-29,22
2023-04-30,18
2023-05-01,64
2023-05-02,61
2023-05-03,72
2023-05-04,71
2023-05-05,62
2023-05-06,12
2023-05-07,12
2023-05-08,55
2023-05-09,68
2023-05-10,70
2023-05-11,50
2023-05-12,66
2023-05-13,11
2023-05-14,9
2023-05-15,47
2023-05-16,63
2023-05-17,51
2023-05-18,39
2023-05-19,40
2023-05-20,8
2023-05-21,11
2023-05-22,46
2023-05-23,41
2023-05-24,40
2023-05-25,44
2023-05-26,41
2023-05-27,7
2023-05-28,4
2023-05-29,29
2023-05-30,39
